"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"1700047N06Rik","1700047N06Rik",-0.0586082333190544,0.0220609295356465,0.0151454146422498,0.0151454146422498,0.000486684611976759,0,TRUE,0.0107639720485668
"1700054A03Rik","1700054A03Rik",0.0403158790107826,0.0175640798814526,0.0326599227298444,0.0326599227298444,0.000308496902082048,0,TRUE,0.0111317332438299
"1700065D16Rik","1700065D16Rik",0.0938032075633477,0.0322694415324828,0.00871915472851738,0.00871915472851738,0.00104131685681832,0,TRUE,0.0113305782313322
"1700071M16Rik","1700071M16Rik",0.0793869562952306,0.0289368288638405,0.012525283285924,0.012525283285924,0.00083734006469519,0,TRUE,0.0112769842422358
"1700074P13Rik","1700074P13Rik",0.0543732371812636,0.0200183984131832,0.0132987614895021,0.0132987614895021,0.000400736275028937,0,TRUE,0.0111839930086259
"1700097N02Rik","1700097N02Rik",-0.263274115610928,0.0733173612109202,0.00182660951272416,0.00182660951272416,0.00537543545493255,0,TRUE,0.0100031042709499
"1810006J02Rik","1810006J02Rik",1.47635995410721,0.274214235519443,2.86191288072604e-05,2.86191288072604e-05,0.0751934469615124,0,TRUE,0.0164703839839695
"1810008B01Rik","1810008B01Rik",0.0901988933520974,0.0345452082795109,0.0167225799489535,0.0167225799489535,0.00119337141507479,0,TRUE,0.0113171787994721
"1810062G17Rik","1810062G17Rik",-0.179860312440994,0.0603019612614177,0.00735732906812986,0.00735732906812986,0.00363632653197352,0,TRUE,0.0103132041973755
"2010310C07Rik","2010310C07Rik",0.0725137097025635,0.0214026610437834,0.00292059160436926,0.00292059160436926,0.000458073899755085,0,TRUE,0.0112514321971102
"2010320M18Rik","2010320M18Rik",0.196025419006547,0.0484383326410391,0.000630438206492853,0.000630438206492853,0.00234627206904395,0,TRUE,0.0117106004703733
"2210408F21Rik","2210408F21Rik",0.0809720377277164,0.038125959957096,0.0463520235172412,0.0463520235172412,0.00145358882265008,0,TRUE,0.0112828769556348
"2310047D07Rik","2310047D07Rik",0.060606953903206,0.0179999241632686,0.00306537642140961,0.00306537642140961,0.00032399726988342,0,TRUE,0.0112071675315866
"2600006K01Rik","2600006K01Rik",0.219958760477601,0.0453872385192236,9.79494412609108e-05,9.79494412609108e-05,0.00206000142040089,0,TRUE,0.0117995752820619
"2610001A08Rik","2610001A08Rik",0.0747568417981303,0.0179013011573301,0.000466094989342307,0.000466094989342307,0.000320456583125427,0,TRUE,0.0112597712857427
"2610507I01Rik","2610507I01Rik",-0.376052086644677,0.162627374513263,0.0315288450513206,0.0315288450513206,0.0264476629410771,0,TRUE,0.00958383984239086
"2610509F24Rik","2610509F24Rik",0.0750485470690614,0.0310882158964729,0.0254830125040065,0.0254830125040065,0.000966477167625713,0,TRUE,0.0112608557319565
"2700029L08Rik","2700029L08Rik",0.0529976542735189,0.0144924291923013,0.00156669797790733,0.00156669797790733,0.000210030503893867,0,TRUE,0.0111788791288809
"2700038G22Rik","2700038G22Rik",-0.618797805337145,0.280262444561745,0.0390919254589942,0.0390919254589942,0.078547037831725,0,TRUE,0.008681406112649
"2810004N23Rik","2810004N23Rik",-1.7811125525325,0.798784565432593,0.0373836360539401,0.0373836360539401,0.638056781973336,0,TRUE,0.00436037405451195
"2810006K23Rik","2810006K23Rik",1.73561751874022,0.312087331873937,1.91867378007693e-05,1.91867378007694e-05,0.0973985027161929,0,TRUE,0.0174342023049507
"2810025M15Rik","2810025M15Rik",0.368520983839,0.0563762523494416,0.0129401026958443,0.0129401026958443,0.00317828182896791,0.145572093480882,FALSE,0.012351871578157
"2810032G03Rik","2810032G03Rik",0.0732981411955291,0.0285210329657692,0.0182741958829804,0.0182741958829804,0.000813449321434491,0,TRUE,0.0112543484068861
"2810454H06Rik","2810454H06Rik",0.384675225269456,0.120277207731942,0.00451432451432714,0.00451432451432714,0.0144666066997927,0,TRUE,0.0124119267355609
"2900026A02Rik","2900026A02Rik",1.43368868915751,0.38154182840698,0.00123915811377036,0.00123915811377036,0.145574166824141,0,TRUE,0.0163117488945894
"3110045C21Rik","3110045C21Rik",-0.0766288706720797,0.0362212320411663,0.047123781722468,0.047123781722468,0.00131197765058001,0,TRUE,0.0106969783604129
"3300002P13Rik","3300002P13Rik",0.0716233542297839,0.0182692849377937,0.000847350543491555,0.000847350543491555,0.000333766772138294,0,TRUE,0.0112481222033667
"3732407C23Rik","3732407C23Rik",0.0606502055281724,0.0283570963889182,0.0449740284051228,0.0449740284051228,0.000804124915610399,0,TRUE,0.011207328324228
"4430402I18Rik","4430402I18Rik",0.23857579014924,0.037818927612788,3.70318007791188e-06,3.70318007791189e-06,0.0014302712857813,0,TRUE,0.0118687861238174
"4833407H14Rik","4833407H14Rik",2.9045707763829,0.670198402464852,0.031029924564351,0.031029924564351,0.449165898666439,0.258989006314155,FALSE,0.0217799137509478
"4833418N02Rik","4833418N02Rik",0.177902913838456,0.057466747203251,0.00569948180034426,0.00569948180034426,0.00330242703412236,0,TRUE,0.0116432280774874
"4833439L19Rik","4833439L19Rik",2.96087431300267,1.14628480024645,0.0177670514092399,0.0177670514092399,1.31396884327604,0,TRUE,0.0219892282996166
"4921513I08Rik","4921513I08Rik",-0.0525541110405337,0.0244934947866518,0.0443585764372973,0.0443585764372973,0.000599931286863741,0,TRUE,0.0107864789095635
"4930402F11Rik","4930402F11Rik",0.0480844743372422,0.0225996807859458,0.0459939210938132,0.0459939210938132,0.000510745571626646,0,TRUE,0.0111606138456919
"4930405A10Rik","4930405A10Rik",0.0893243305403617,0.0223412439047644,0.025031199740204,0.025031199740204,0.000499131179212174,0.374800946209162,FALSE,0.0113139275166718
"4930405D11Rik","4930405D11Rik",0.0703915157891919,0.0322185734653917,0.0409756467375477,0.0409756467375477,0.00103803647614484,0,TRUE,0.0112435427093827
"4930422M22Rik","4930422M22Rik",0.0874937563680791,0.0282021311591191,0.00561447847764521,0.00561447847764521,0.000795360201916158,0,TRUE,0.0113071221571923
"4930426L09Rik","4930426L09Rik",0.149677086164598,0.0612986132607214,0.0240328407799884,0.0240328407799884,0.00375751998768749,0,TRUE,0.0115382954793759
"4930428O21Rik","4930428O21Rik",0.219461967199011,0.0319799970900807,1.14367629590007e-06,1.14367629590007e-06,0.00102272021388157,0,TRUE,0.0117977283987729
"4930429D17Rik","4930429D17Rik",0.0670195418939842,0.0275873227779319,0.0246723036153735,0.0246723036153735,0.000761060378053798,0,TRUE,0.0112310070280319
"4930432K21Rik","4930432K21Rik",-0.374923976080102,0.153608766354494,0.0240836672487586,0.0240836672487586,0.0235956531009495,0,TRUE,0.00958803371666317
"4930439D14Rik","4930439D14Rik",-0.120935034739804,0.0459976924489596,0.0160784884082981,0.0160784884082981,0.00211578771062908,0,TRUE,0.0105322653549456
"4930447A16Rik","4930447A16Rik",0.0892884331639212,0.0162025841307545,0.0144429957027982,0.0144429957027982,0.000262523732514178,0.100383577073515,FALSE,0.0113137940642529
"4930447C04Rik","4930447C04Rik",0.0749928130814267,0.0231566096943374,0.00411753464350828,0.00411753464350828,0.000536228572535881,0,TRUE,0.0112606485347686
"4930447F24Rik","4930447F24Rik",0.172090092653501,0.0362183208472375,0.000121967858913179,0.000121967858913179,0.00131176676499344,0,TRUE,0.0116216182796687
"4930449C09Rik","4930449C09Rik",0.241919854250235,0.0798057797211847,0.00659310191836188,0.00659310191836188,0.00636896247690626,0,TRUE,0.0118812180474595
"4930455B14Rik","4930455B14Rik",0.0361253502377493,0.0145751760335777,0.0222270394376329,0.0222270394376329,0.000212435756409777,0,TRUE,0.0111161544952916
"4930471E19Rik","4930471E19Rik",0.410475208189407,0.0720136343832098,0.0148331549984813,0.0148331549984813,0.00518596353707862,0.16182938614983,FALSE,0.0125078409907706
"4930478L05Rik","4930478L05Rik",0.453048060577086,0.138202389892657,0.00376020075453139,0.00376020075453139,0.019099900572042,0,TRUE,0.0126661102206995
"4930478M09Rik","4930478M09Rik",0.2803031776899,0.0595821275998519,0.000135999477360193,0.000135999477360194,0.00355002992932503,0,TRUE,0.0120239122458088
"4930503L19Rik","4930503L19Rik",1.43541779411876,0.654646364129166,0.0403267491455749,0.0403267491455749,0.428561862067537,0,TRUE,0.0163181770311911
"4930512H18Rik","4930512H18Rik",-0.119995415207785,0.047271270774814,0.0195560811284239,0.0195560811284239,0.00223457304066579,0,TRUE,0.0105357584932113
"4930517O19Rik","4930517O19Rik",0.216118066602313,0.0550011490036064,0.000829883997975688,0.000829883997975688,0.00302512639171691,0,TRUE,0.0117852970829766
"4930533I22Rik","4930533I22Rik",0.0542022270172297,0.0140413001414517,0.000975360361894492,0.000975360361894492,0.000197158109662333,0,TRUE,0.0111833572596574
"4930544D05Rik","4930544D05Rik",0.749732525418436,0.116125775788205,0.0263711432437808,0.0263711432437808,0.0134851958024125,0.0911833985791755,FALSE,0.0137690671321762
"4930555B11Rik","4930555B11Rik",0.0410548878672327,0.0192314749192853,0.0453402133180796,0.0453402133180796,0.000369849627571098,0,TRUE,0.0111344805899916
"4930563N14Rik","4930563N14Rik",0.356155481963333,0.0766284348580328,0.000155112804929692,0.000155112804929692,0.00587191702879177,0,TRUE,0.0123059014739759
"4930577N17Rik","4930577N17Rik",0.127111865105656,0.0240949725454704,3.66091047510319e-05,3.66091047510319e-05,0.000580567701966972,0,TRUE,0.0114544068047895
"4930579K19Rik","4930579K19Rik",0.194312348792405,0.0608257802266979,0.00455225089830523,0.00455225089830523,0.00369977554018655,0,TRUE,0.0117042319446954
"4930581F22Rik","4930581F22Rik",2.06292651487098,0.305986366949196,1.47182649229673e-06,1.47182649229673e-06,0.0936276567587683,0,TRUE,0.0186510092572933
"4931406P16Rik","4931406P16Rik",1.87387354907704,0.517800794811346,0.0017114773818899,0.0017114773818899,0.268117663107262,0,TRUE,0.0179481842025027
