innateness_score	category	cell_type
308184.5670906586	cell_types	NKT1:spleen
71711.00532581515	cell_types	NKT2:spleen
78273.32320363962	cell_types	NKT17:spleen
258965.0233658289	cell_types	NKT1:thymus
43087.63491422778	cell_types	NKT2:thymus
48637.759575306496	cell_types	NKT17:thymus
300589.2324488777	cell_types	NKT1:lung
76451.313546293	cell_types	NKT17:lung
225568.84202329634	cell_types	NKT1:liver
204866.87404111464	cell_types	NKT1:spleen.1
59825.020229767724	cell_types	NKT2:spleen.1
90311.31764037343	cell_types	NKT1:lung.1
84481.18938660152	cell_types	NKT17:spleen.1
29703.36160795905	cell_types	NKT2:lung
28714.887944971073	cell_types	NKT17:lung.1
301715.6161751467	cell_types	NKT1:thymus.1
146379.14707151224	cell_types	NKT1:spleen.2
252625.2270797051	cell_types	NKT1:thymus.2
30941.319517669224	cell_types	NKT2:spleen.2
29019.924147929138	cell_types	NKT17:spleen.2
59002.3182138437	cell_types	NKT17:thymus.1
41011.13459895	cell_types	NKT17:thymus.2
75153.09067022186	cell_types	NKT1:spleen.3
17717.5289988239	cell_types	NKT2:spleen.3
183705.06054941463	cell_types	NKT1:liver.1
18739.301372172165	cell_types	NKT17:spleen.3
235428.78260260227	cell_types	NKT1:liver.2
100945.36848966507	cell_types	NKT1:thymus.3
19976.44411996669	cell_types	NKT2:thymus.1
29623.21505088901	cell_types	NKT17:thymus.3
238168.97878336706	cell_types	NKT1:spleen.4
104887.35716830559	cell_types	NKT1:lung.2
46792.00238154514	cell_types	NKT2:spleen.4
20920.929344196746	cell_types	NKT2:lung.1
24305.869084438666	cell_types	NKT17:lung.2
53802.02923563417	cell_types	NKT17:spleen.4
122462.46157470226	cell_types	NKT1:liver.3
20998.62149568154	cell_types	NKT2:thymus.2
55423.40639979433	cell_types	NKT17:thymus.4
141823.04480933122	cell_types	NKT1:lung.3
28382.472350974473	cell_types	NKT2:lung.2
24621.36284406062	cell_types	NKT17:lung.3
39067.25380469001	cell_types	NKT2:lung.3
85285.7578565072	cell_types	NKT1:spleen.5
65382.56257812817	cell_types	NKT2:lung.4
29534.62875155942	cell_types	NKT2:spleen.5
51563.10574309154	cell_types	NKT17:lung.4
154706.96797885196	cell_types	NKT1:spleen.6
70045.85600376017	cell_types	NKT17:lung.5
24049.848912003414	cell_types	NKT2:spleen.6
28843.190499157674	cell_types	NKT17:spleen.5
92138.8571947094	cell_types	NKT1:thymus.4
16172.915018431331	cell_types	NKT2:thymus.3
23237.955847893438	cell_types	NKT17:thymus.5
217997.06429590116	cell_types	NKT1:lung.4
18531.11568990034	cell_types	NKT2:lung.5
34265.2759436374	cell_types	NKT17:lung.6
116423.5501425458	cell_types	NKT1:liver.4
15700.947206310797	cell_types	CD4_T:spleen
19758.216877030638	cell_types	CD4_T:lung
61210.331045543564	cell_types	CD4_T:lung.1
69839.58221297862	cell_types	NKT:lung
98224.01703948312	cell_types	gamma_delta_T:lung
476265.2754211629	cell_types	NK:lung
51625.38518931164	cell_types	CD4_T:spleen.1
223785.02779494133	cell_types	NKT:spleen
129166.73280980057	cell_types	gamma_delta_T:spleen
475120.3026760989	cell_types	NK:spleen
95969.03492368251	cell_types	gamma_delta_T:lung.1
239307.2549995454	cell_types	NK:lung.1
48954.776639129006	cell_types	CD4_T:spleen.2
137581.94322891883	cell_types	NKT:spleen.1
465307.0950585123	cell_types	NK:lung.2
88581.50210786643	cell_types	NKT:lung.1
99884.74556303493	cell_types	CD4_T:lung.2
568395.0379614858	cell_types	NK:spleen.1
155816.80217287582	cell_types	gamma_delta_T:spleen.1
85906.95407758522	cell_types	NKT:spleen.2
101726.8870086375	cell_types	CD4_T:spleen.3
316037.6710134124	cell_types	NK:lung.3
79455.80369234522	cell_types	gamma_delta_T:lung.2
82358.65858691197	cell_types	NKT:lung.2
314156.54996254435	cell_types	NK:spleen.2
87458.22504016222	cell_types	gamma_delta_T:spleen.2
330366.7226967874	cell_types	NK:spleen.3
280497.0653739182	cell_types	NKT1:lung.5
67008.09137134717	cell_types	NKT17:lung.7
232134.27700586052	cell_types	NKT1:lung.6
73679.64538792297	cell_types	NKT17:lung.8
262503.2541240067	cell_types	NKT1:lung.7
50027.256226022364	cell_types	NKT17:lung.9
262691.7746487599	cell_types	NKT1:lung.8
58781.202831312476	cell_types	NKT17:lung.10
223164.59420666477	cell_types	NKT1:lung.9
79117.81042880246	cell_types	NKT17:lung.11
256029.7871643895	cell_types	NKT1:lung.10
80757.72104530247	cell_types	NKT17:lung.12
247632.8629484734	cell_types	NKT1:lung.11
258154.245130238	cell_types	NKT1:lung.12
57799.659227900476	cell_types	NKT17:lung.13
